feature,importance
failures,0.11414928318394858
absences,0.10481619988210916
goout,0.05874373821528442
age,0.053344387537192464
health,0.04179472884383941
freetime,0.03963568817618076
famrel,0.03906684576922109
Mjob,0.03900063674039872
Fjob,0.036848212633890015
Fedu,0.036661871677769645
Walc,0.03600697068101901
Medu,0.03561859504758532
studytime,0.03321919919570661
reason,0.031167961420923804
guardian,0.029936450311138497
Dalc,0.028051428913186256
traveltime,0.024920403139595572
activities,0.02302088131489259
schoolsup,0.022843931883375936
romantic,0.01965847302821073
famsize,0.019057649912836858
address,0.017621801803689965
famsup,0.017250353488811338
sex,0.016979179800586944
nursery,0.0166085345998385
paid,0.016427932670547433
higher,0.016103105541787465
internet,0.013435607748895984
school,0.010355354103474674
Pstatus,0.007654592734062188
